node,environment,(unused),elapsedTime,epoch,iteration,accuracy,f1,precision,recall,gmeasure,mcc,score,before or after averaging,#peers included in current batch
5570, Figure 4.3 - bristle, 0, 23980, 0, 10, 0.03, 0.016172506738544475, 0.009966777408637873, 0.03, 0.014467284665112361, NaN, 1.905396195258934, before, -
5554, Figure 4.3 - bristle, 0, 24113, 2, 20, 0.68, 0.7786075170870196, 0.8053186944634313, 0.68, 0.6415935836898815, NaN, 0.9763159796841675, before, 3
5558, Figure 4.3 - bristle, 0, 24457, 2, 20, 0.68, 0.6706410256410258, 0.8353571428571429, 0.6799999999999999, 0.7100453838612765, 0.6857855414032115, 1.1131316375619826, before, 4
5566, Figure 4.3 - bristle, 0, 24585, 2, 20, 0.75, 0.7978648076687294, 0.817929292929293, 0.7500000000000001, 0.7302976013730342, NaN, 1.144924009097076, before, 5
5584, Figure 4.3 - bristle, 0, 24600, 3, 30, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.4249494662207816, before, 2
5554, Figure 4.3 - bristle, 0, 24553, 2, 20, 0.57, 0.6343452380952381, 0.7724780701754386, 0.5700000000000001, 0.5441706595300068, NaN, 1.1071513694347594, before, -
5560, Figure 4.3 - bristle, 0, 24719, 2, 20, 0.69, 0.7883016945516946, 0.8097342472342473, 0.6900000000000001, 0.6489347944484879, NaN, 1.0793030819310026, before, 5
5584, Figure 4.3 - bristle, 0, 25083, 3, 30, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.4040290855927826, before, -
5566, Figure 4.3 - bristle, 0, 25202, 2, 20, 0.65, 0.6632236276364128, 0.7997476597476598, 0.65, 0.6345426177615084, NaN, 1.2575336608682763, before, -
5558, Figure 4.3 - bristle, 0, 25140, 2, 20, 0.55, 0.5729501773946218, 0.8042483660130719, 0.55, 0.5676223503575724, NaN, 0.8045539312855994, before, -
5560, Figure 4.3 - bristle, 0, 25202, 2, 20, 0.59, 0.6543887362637363, 0.7845170454545455, 0.5900000000000001, 0.5623569303110407, NaN, 1.1081645664403705, before, -
5556, Figure 4.3 - bristle, 0, 26827, 2, 20, 0.73, 0.8345868667833265, 0.8140453296703296, 0.7300000000000001, 0.6787411082998133, NaN, 1.2153395058692287, before, 6
5556, Figure 4.3 - bristle, 0, 27235, 2, 20, 0.68, 0.7651400134952766, 0.8013392857142858, 0.6799999999999999, 0.6349494753963487, NaN, 1.10024255718723, before, -
5578, Figure 4.3 - bristle, 0, 27722, 2, 20, 0.71, 0.733901057206123, 0.8086062086062087, 0.71, 0.684373290240726, NaN, 1.3778560653478111, before, 8
5574, Figure 4.3 - bristle, 0, 27793, 2, 20, 0.58, 0.5522945320932937, 0.7293876262626263, 0.5800000000000001, 0.5964279459846688, 0.5669112023832446, 0.9718140654180116, before, 5
5582, Figure 4.3 - bristle, 0, 28247, 2, 20, 0.73, 0.7785854315868173, 0.8277638540796436, 0.73, 0.7185007845332966, NaN, 1.230372890551795, before, 2
5578, Figure 4.3 - bristle, 0, 28328, 2, 20, 0.63, 0.7223575036075036, 0.7633547008547009, 0.63, 0.5984864000760497, NaN, 0.8949375105942113, before, -
5574, Figure 4.3 - bristle, 0, 28467, 2, 20, 0.52, 0.5431262052202701, 0.6932447599114266, 0.52, 0.5273472935584727, NaN, 0.888652117605412, before, -
5582, Figure 4.3 - bristle, 0, 28927, 2, 20, 0.6, 0.6132036240731894, 0.7789224664224665, 0.6000000000000001, 0.596775699314581, NaN, 1.1087442230287048, before, -
5584, Figure 4.3 - bristle, 0, 33014, 4, 40, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.18081154185306156, before, 2
5584, Figure 4.3 - bristle, 0, 33408, 4, 40, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.16286824616535128, before, -
5568, Figure 4.3 - bristle, 0, 33603, 0, 20, 0.01, 0.008695652173913044, 0.007692307692307693, 0.01, 0.008770580193070292, -0.10100510755494534, 1.4038940824725161, before, 3
5566, Figure 4.3 - bristle, 0, 33657, 3, 30, 0.72, 0.740689437373796, 0.8137111254758315, 0.72, 0.6912078283445321, NaN, 0.8927599017927996, before, 4
5568, Figure 4.3 - bristle, 0, 34217, 1, 20, 0.01, 0.008695652173913044, 0.007692307692307693, 0.01, 0.008770580193070292, -0.10100510755494534, 1.4038940824725161, before, -
5566, Figure 4.3 - bristle, 0, 34378, 3, 30, 0.65, 0.7328972401437572, 0.768925669740887, 0.6499999999999999, 0.6082062630506249, NaN, 0.8447296574862738, before, -
5554, Figure 4.3 - bristle, 0, 34759, 3, 30, 0.8, 0.7756194515423724, 0.8532376395534289, 0.8, 0.7960360319654411, 0.7793896085496104, 0.7382802063116528, before, 3
5554, Figure 4.3 - bristle, 0, 35200, 3, 30, 0.78, 0.8366734324422662, 0.8419960474308301, 0.78, 0.7607047756684086, NaN, 1.2609088708552743, before, -
